subsector,density_km2
ARN-5,12285
ARN-6,1206
ARN-8,14096
CM-7,5336
CT-13,13913
CT-4,2817
CT-5,13431
CT-7,6975
CT-8,2622
GRR-3,46532
GRR-6,35405
IM-2,2743
IM-3,1589
IM-4,3030
MSQ-14,7704
MSQ-18,7487
MSQ-19,8912
MSQ-4,4819
MSQ-5,7197
MSQ-9,3672
PLL-10,1288
PLN-2,6138
PLN-4,33783
PSS-3,3861
PSS-4,1701
RIU-4,13041
RIU-5,24964
RMP-1,15015
RMP-10,18051
RMP-15,33033
RMP-3,2527
RMP-5,9975
SLN-1,5341
SLN-10,2008
SLN-11,11013
SLN-12,7692
SLN-13,5005
SLN-3,7812
SLN-7,1686
SLN-9,6428
VLS-1,31483
VLS-2,49265
VLS-4,2303
VRN-1,1359
VRN-2,14402
